source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
57850155758166144,52.037789305727436,0.490763882940764,19.69085785724381,0.4667954328942211,-10.400352229302397,1.076480344227392,-25.487297793808942,0.9908540351293701,-27.923242258547887,0.9743059183434388,7.5504462801359855,0.5648896972481555,11.022919,11.53403,10.405573
117671044371092992,52.08865027525487,0.049996853926632015,26.270412871201867,0.045704001136588804,2.225144215299224,0.10796133399720749,-54.73958864736613,0.10059442278695534,-26.73912985517616,0.37765796111575195,7.558326708250926,0.05934884005038819,7.1713176,7.8088675,6.45664
164245016896660608,61.960782094764774,0.03999752790502938,28.875094411649023,0.014874528523417453,-23.27795222960833,0.1147962549313203,-18.647383968227757,0.03963163088975477,-53.21965570037297,0.38964639528922546,7.560474364093523,0.04361214890047899,11.666487,12.181429,11.02483
62810258869222144,50.19044601559095,0.0639139973185184,23.18391157070871,0.04251348684933124,-4.991412350629373,0.13174781960445156,-12.527040844129544,0.1132072157017684,-5.943085827713762,7.1997712634806765,7.561518140573373,0.07045836647641468,8.386509,8.579852,8.077728
66481837433947392,57.874839203752046,0.03950666325271447,23.899041937260147,0.015100670895999512,19.687509071855946,0.096447630554886,-45.78210725437013,0.04757477712067574,3.3494579164500937,5.190125201162799,7.565003816948215,0.03957606643612674,13.036555,13.783653,12.20086
69838302833692160,56.15605129873356,0.04381256673910181,25.137590963324847,0.02524108158621168,22.09928553608684,0.08870189275179022,-46.67834546395846,0.05955668365820226,6.814513372972476,1.3691205758347373,7.565130093731612,0.04917861796107667,12.802538,13.514833,11.998975
70125000491024128,55.95431391466964,0.052599888959778955,25.729417749558284,0.028489186561704214,21.3447631484995,0.10113194862271772,-47.6859168418273,0.06742343820621498,4.827075476006321,2.499079323457715,7.567568944275074,0.05992264244563459,11.738894,12.257423,11.093175
66802654309459712,56.417493700335584,0.0569207102187222,24.62703860846514,0.029082674935421823,18.187366084408232,0.13646100932364003,-43.8170038310597,0.06867037961927137,6.678700909004355,2.0077398668492394,7.568906833789587,0.061311315878964344,9.586493,9.892756,9.146436
69857235049588736,56.811774069651726,0.054310591846642595,25.371632413953815,0.028663805352061585,19.693187526118866,0.10432675739429774,-45.98183850939972,0.06764497518681349,5.386970855785618,0.7657349880840437,7.572139959092714,0.05748578171832051,11.430553,11.913791,10.815692
65781345446197504,59.320268480042394,0.06817009314773285,24.008996592769602,0.022409216968239866,19.49245429296534,0.11759545358997468,-46.787209977649226,0.05248154398669721,4.6449654620528165,5.512066776178077,7.573903267385437,0.07111498493800243,12.362671,12.984205,11.617063
66802276352348416,56.30003455990275,0.03515874852083027,24.58599482425714,0.02333859963247401,20.884848790240195,0.08010399553988408,-44.70371502354184,0.062445250894733205,10.512081896293566,16.817100952424514,7.574021534178987,0.04178995550212359,13.403344,14.227921,12.518534
162798506269777024,63.2852512157093,0.04005821020788758,26.660837351871578,0.019992264766571795,-21.93968857728598,0.09698193696325541,-93.20917484071921,0.05879346623240113,-29.883690090079725,0.3307895696337291,7.574880362308524,0.041966837825948636,10.010909,10.342517,9.541467
67618285777617664,53.8821582202477,0.0430717228117582,22.823389659589207,0.027924960620375687,21.133501435968824,0.0936870917467144,-45.519961099668045,0.06475567904243135,5.71506146833681,0.4460557803942347,7.575025405342631,0.04824976247354373,9.729503,10.021291,9.311025
