source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
48463281392926592,63.67787160631488,0.07072393821291241,18.822460648939856,0.03542303655096846,-28.406584887563394,0.18127182375259154,-48.19535289566592,0.09655509589966277,7.174476302824076,0.07219596812133369,14.074834,15.384401,12.9387045
70274190474468864,56.868428379039855,0.15787747256619364,26.534771069678925,0.07650318762798808,20.673611620402593,0.260672475621889,-46.299681327274406,0.16882961197599494,7.175711768225136,0.14369690050966846,16.359095,18.03569,15.095159
167953669614701696,58.58153839753384,2.6019938839751924,29.950389795521552,1.1522873353377228,-2.518246084109543,3.144031880699251,-8.218946076699366,3.558439541687606,7.175765841268935,3.3517645179279083,20.833706,20.935297,19.685375
69720895605979264,53.73982703992884,0.05085667531226377,26.608295453721862,0.03240860178637555,6.182949501887615,0.0995036934030579,4.2547949586067455,0.07265694970784178,7.176868477522827,0.056354013656673425,8.33427,8.499098,8.091743
119776604841920896,53.63006247828013,0.1638468977553564,28.841990211282564,0.10847180833606757,20.852764262548796,0.2902170034463054,-44.92224691146672,0.20206966960210304,7.177240842375306,0.18815011268825188,17.421022,19.351315,16.096458
65063707949772544,55.85234332979304,0.0338687174137128,23.225748519752294,0.02159588310494205,20.77940493250167,0.06924920221511893,-41.47551359892305,0.04912860559757815,7.177491635999279,0.03786467709949334,10.34908,10.759299,9.798207
71371262561007232,55.01294379722027,0.07543939880630206,27.74032257457195,0.06340970344556636,20.52742020693798,0.1961632909468767,-44.74955376826044,0.17506914743429725,7.177798680087074,0.13181920527943916,9.496123,9.771803,9.097683
167207616615209600,60.72311122494514,1.9804153003002514,28.94893608031948,0.7609239537200372,7.41938217064622,2.820886910430479,-0.05447121537607564,1.7440541106791927,7.177870797244447,2.2572104218340767,20.867357,21.11785,19.651726
52814044608402304,63.72057440488789,0.05118178241924752,22.46317215463787,0.02421740991557624,47.285703499859295,0.11470126547188503,-30.198559799197298,0.07836913311960504,7.1783133917031146,0.05342571871658203,9.974401,10.397783,9.411345
44957351129489664,56.60656939610911,0.13152460763015608,18.90632848903936,0.08065912665754459,-1.9576728717839247,0.2646908541679869,-37.923049987911355,0.17215147472361306,7.179142792837752,0.14893735238178862,17.132559,18.69947,15.894838
49927762162584832,58.32969063208074,0.07496242777650039,18.274833665084667,0.032852784081808944,-0.298203950405032,0.17226297006199864,-49.8516733052782,0.09064150051319936,7.179229995750468,0.07777704324202633,14.254164,15.460669,13.167534
166916692710232576,58.32921721508909,0.965714348485019,28.08832137275577,0.4672175663411296,3.943175046113506,1.9400302807894572,2.3138945769828023,1.2629778383968688,7.179273479950413,1.0579920761892951,20.222559,20.602247,18.806705
